"cc","firm","produce","sales_in","sales_out","year","month"
"100CC","SUZUKI",0,0,0,2020,9
"125CC","SUZUKI",1542,1349,192,2020,9
"90CC","SUZUKI",60,0,221,2020,9
"250CC","SUZUKI",0,0,0,2020,9
"50CC","YAMAHA",1140,0,1152,2020,9
"100CC","YAMAHA",0,0,0,2020,9
"125CC","YAMAHA",17908,16649,1321,2020,9
"150CC","YAMAHA",4741,4478,278,2020,9
"50CC","KYMCO",2704,0,6858,2020,9
"100CC","KYMCO",5007,3988,1045,2020,9
"110CC","KYMCO",3000,3067,1,2020,9
"125CC","KYMCO",22827,19488,3542,2020,9
"150CC","KYMCO",5673,3376,2821,2020,9
"250CC","KYMCO",428,0,993,2020,9
"90CC","KYMCO",0,0,0,2020,9
"50CC","PGO",438,0,537,2020,9
"100CC","PGO",0,0,0,2020,9
"110CC","PGO",0,2,0,2020,9
"125CC","PGO",1722,1526,178,2020,9
"150CC","PGO",191,76,55,2020,9
"50CC","SYM",3000,0,3000,2020,8
"90CC","SYM",0,0,0,2020,8
"100CC","SYM",1980,898,1080,2020,8
"110CC","SYM",7261,4392,2946,2020,8
"125CC","SYM",18070,16987,872,2020,8
"150CC","SYM",977,906,17,2020,8
"250CC","SYM",187,1,256,2020,8
"50CC","SUZUKI",0,0,162,2020,8
"100CC","SUZUKI",0,0,0,2020,8
"125CC","SUZUKI",1291,1171,192,2020,8
"90CC","SUZUKI",30,0,126,2020,8
"250CC","SUZUKI",0,0,0,2020,8
"50CC","YAMAHA",876,0,1040,2020,8
"100CC","YAMAHA",0,0,0,2020,8
"125CC","YAMAHA",15518,12914,2559,2020,8
"150CC","YAMAHA",3529,2758,752,2020,8
"50CC","KYMCO",6669,0,2279,2020,8
"100CC","KYMCO",3932,4056,772,2020,8
"110CC","KYMCO",2900,2854,0,2020,8
"125CC","KYMCO",19594,16791,2374,2020,8
"150CC","KYMCO",5861,3467,2215,2020,8
"250CC","KYMCO",3763,0,1948,2020,8
"90CC","KYMCO",746,0,0,2020,8
"50CC","PGO",494,0,397,2020,8
"100CC","PGO",0,0,0,2020,8
"110CC","PGO",0,0,0,2020,8
"125CC","PGO",1308,1269,86,2020,8
"150CC","PGO",65,56,0,2020,8
"50CC","SYM",720,0,720,2020,7
"90CC","SYM",0,0,0,2020,7
"100CC","SYM",550,551,0,2020,7
"110CC","SYM",6880,6854,0,2020,7
"125CC","SYM",15636,14766,1113,2020,7
"150CC","SYM",358,360,0,2020,7
"250CC","SYM",479,3,444,2020,7
"50CC","SUZUKI",240,0,72,2020,7
"100CC","SUZUKI",0,0,0,2020,7
"125CC","SUZUKI",1385,1052,0,2020,7
"90CC","SUZUKI",150,0,20,2020,7
"250CC","SUZUKI",0,0,0,2020,7
"50CC","YAMAHA",720,0,544,2020,7
"100CC","YAMAHA",0,0,0,2020,7
